Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Animal type (product.metafields.shopify.animal-type),Color (product.metafields.shopify.color-pattern),Compatible vehicle (product.metafields.shopify.compatible-vehicle),First aid kit components (product.metafields.shopify.first-aid-kit-components),Leash design (product.metafields.shopify.leash-design),Material (product.metafields.shopify.material),Pet control accessory features (product.metafields.shopify.pet-control-accessory-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,Rabbitgoo Reflective No-Pull Dog Harness (Front & Back Clip) (Medium) | HappyPawsCo UK,"<p>If your dog turns every walk into a tug-of-war, this no-pull harness gives you a calmer, safer setup without putting pressure on their throat. It includes two lead attachment points (front and back), soft padding, and reflective detailing for darker walks.</p>
<h3>Why you’ll love it</h3>
<ul>
<li>
<strong>Two lead clips (front + back):</strong> Use the front clip to help reduce pulling during training. Use the back clip for everyday walks, jogging, and hiking.</li>
<li>
<strong>No-choke design:</strong> A harness-style fit helps avoid pressure on the neck compared to collar-only walking.</li>
<li>
<strong>Easy on and off:</strong> Overhead design with two quick-release buckles makes it simple to fit, remove, and adjust.</li>
<li>
<strong>Comfort-first materials:</strong> Nylon oxford outer with soft padding, plus breathable mesh to help with airflow.</li>
<li>
<strong>Reflective strips:</strong> Added visibility for early mornings, evenings, and winter walks.</li>
<li>
<strong>Top control handle:</strong> Handy for extra control in busy spots, stairs, doorways, or when you need a steady moment.</li>
</ul>
<h3>Fit and adjustability</h3>
<p>This harness includes four adjustment points (two at the neck and two at the chest) so you can dial in a secure fit with room for movement. A snug, well-adjusted fit helps reduce slipping and improves comfort on longer walks.</p>
<h3>Sizing notes</h3>
<p><strong>Size L (manufacturer guidance):</strong> Neck girth 46–66 cm, chest girth 43–85 cm. Suitable for many medium-to-large dogs. Please check the size chart and measure your dog before ordering, as sizing can vary by build and coat.</p>
<p>Also available in <strong>Size M</strong>. Use your dog’s measurements and the size chart to choose the best fit.</p>
<h3>How to measure</h3>
<ul>
<li>
<strong>Neck:</strong> Measure around the base of the neck (not where a collar sits high up).</li>
<li>
<strong>Chest:</strong> Measure the widest part of the ribcage, just behind the front legs.</li>
<li>
<strong>Fit check:</strong> You should be able to slip two fingers under the straps comfortably.</li>
</ul>
<h3>Care</h3>
<p>Wipe clean for day-to-day mess. For deeper cleaning, follow the care instructions and allow to fully air dry before next use.</p>
<h3>Safety note</h3>
<p>This harness is designed for walking and training. If you need in-car restraint, look for a dedicated car safety harness or restraint system designed specifically for vehicle use.</p>
<p><strong>Need a different size?</strong> Shop <a href=""/products/dog-harness-large-dog-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-l"">Size L</a>.</p>",HappyPawsCo,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses,"","autods-uk, Collars, dog-harness, dog_walking, Dogs, happypawsco, Harnesses, Harnesses & Leads, no-pull, Pet Supplies, uk-dispatch, Vest Harnesses, Walking",true,Size Name,M (Pack Of 1),,Colour Name,Black,,,,,6059475f-2218-46be-8ee4-39ee74080d6c,7087.38078125,shopify,deny,autods-prod-lreltcwk,29.26,0.00,true,true,,,,,313046037054,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/61nuLRE8B0L._AC_SL1500.jpg?v=1766106827,1,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",false,,"Reduce pulling on walks with the Rabbitgoo reflective no-pull dog harness. Front + back lead clips, padded comfort, breathable mesh, and a top control handle. Sizes M & L.",,dogs,black,,,,nylon; mesh,adjustable; reflective; comfort-padding; quick-release,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/61nuLRE8B0L._AC_SL1500.jpg?v=1766106827,oz,,21.99,active
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/710NALmmRfL._AC_SL1500.jpg?v=1766106828,2,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",,,,,,,,,,,,,,,,,,,,
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/81adJmfCOCL._AC_SL1500.jpg?v=1766106828,3,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",,,,,,,,,,,,,,,,,,,,
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/71iTTnoluwL._AC_SL1500.jpg?v=1766106827,4,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",,,,,,,,,,,,,,,,,,,,
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/71xhn8SoVuL._AC_SL1500.jpg?v=1766106828,5,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",,,,,,,,,,,,,,,,,,,,
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/71s1zCl676L._AC_SL1500.jpg?v=1766106828,6,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",,,,,,,,,,,,,,,,,,,,
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/81n8cgvGWJL._AC_SL1500.jpg?v=1766106828,7,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",,,,,,,,,,,,,,,,,,,,
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/71OjcS7Q4cL._AC_SL1500.jpg?v=1766106828,8,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",,,,,,,,,,,,,,,,,,,,
dog-harness-medium-no-pull-pet-harness-with-2-leash-clips-adjustable-soft-padded-pet-vest-harness-reflective-no-choke-with-easy-control-handle-for-training-or-walking-black-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/71ej-x_xHEL._AC_SL1500.jpg?v=1766106828,9,"Dog Harness Medium No Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Pet Vest Harness, Reflective No-Choke with Easy Control Handle for Training or Walking, Black, M",,,,,,,,,,,,,,,,,,,,
enhanced-strength-tru-fit-dog-car-harness-crash-tested-steel-nesting-buckles-includes-seatbelt-tether-medium-black,"Kurgo Enhanced Strength Tru-Fit Crash-Tested Dog Car Harness + Seatbelt Tether (Medium, Black)  | HappyPawsCo UK","<p>If you want one harness that works for both everyday walks and safer car travel, this Kurgo Tru-Fit Enhanced Strength harness is a solid choice. It combines a broad padded chest plate for comfort with all-steel buckles and an included seatbelt tether for car journeys.</p>

<h2>Key features</h2>
<ul>
  <li>
<strong>Dual-use design:</strong> Comfortable enough for daily walks, plus built for car restraint when used with the included tether.</li>
  <li>
<strong>Front and back lead points:</strong> Use the <strong>front D-ring</strong> to help reduce pulling, and the <strong>back attachment</strong> for everyday walking.</li>
  <li>
<strong>All-steel hardware:</strong> Steel nesting buckles and steel hardware for a more secure feel.</li>
  <li>
<strong>Seatbelt tether included:</strong> Comes with a <strong>10-inch</strong> tether with an all-steel carabiner to help reduce driver distraction during travel.</li>
  <li>
<strong>Padded chest plate:</strong> Broad padded chest section designed to spread pressure more comfortably.</li>
</ul>

<h2>Using it in the car</h2>
<p>For car travel, Kurgo recommends using the included carabiner tether to connect the harness to your vehicle seat belt system. Keep the tether short enough that your dog can sit and lie down comfortably, but not climb into the front seats.</p>

<h2>Size &amp; fit (Medium)</h2>
<ul>
  <li>
<strong>Neck:</strong> 40–63 cm</li>
  <li>
<strong>Chest:</strong> 46–71 cm</li>
  <li>
<strong>Recommended weight range:</strong> 11–23 kg</li>
</ul>
<p>Measure neck and chest before ordering for the best fit. A snug fit helps the harness sit correctly without rubbing, while still allowing normal breathing and movement.</p>

<h2>Care</h2>
<p>Machine wash on a gentle cycle or hand wash, then line dry. Let it fully dry before storing, especially after wet winter walks.</p>

<p><strong>Note:</strong> “Crash-tested” refers to manufacturer testing methods and does not mean UK legal certification. HappyPawsCo is a retailer of this product.</p>
",HappyPawsCo,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses > Harnesses,"","autods-uk, back-clip, car-safety, crash-tested, dog-car-harness, dog-seatbelt, dog-travel, front-clip, happypawsco, kurgo, medium-dog, no-pull, padded, steel-buckles, tru-fit, uk-dispatch, uk-fast-shipping",true,Size Name,Medium,,Colour Name,Black,,,,,cc9e77ea-0e10-4962-a33c-8eb845b30316,10290.876894375,shopify,deny,autods-prod-lreltcwk,37.28,0.00,true,true,,,,,7445007336357,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/0c1cf49e4ce4e20b6e3336aa7c8470c7.jpg?v=1766105252,1,"Enhanced Strength Tru-Fit Dog Car Harness, Crash Tested, Steel Nesting Buckles, Includes Seatbelt Tether, Medium-Black",false,Crash-Tested Dog Car Harness Medium (Kurgo Tru-Fit) | HappyPawsCo UK,"Kurgo Enhanced Strength Tru-Fit dog car harness in Medium. Crash-tested to FMVSS 213 standards, padded for comfort, with steel buckles and included seatbelt tether.",,dogs,black; red,,,,nylon; metal,adjustable; comfort-padding,,,,,https://cdn.shopify.com/s/files/1/0947/3022/3993/files/0c1cf49e4ce4e20b6e3336aa7c8470c7.jpg?v=1766105252,oz,,29.52,active
